epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.9001547694206238,0.964076042175293,0.0010000000474974513,0.27884528040885925,0.8937784433364868,0.9089506268501282,0.5087719559669495,0.9819118976593018,1.3640598058700562,0.0,0.0
1,0.9326625466346741,0.9790793061256409,0.0010000000474974513,0.20298507809638977,0.9335393905639648,0.9320987462997437,0.5087719559669495,0.9465440511703491,2.017909288406372,0.0,0.0
2,0.9419504404067993,0.9832678437232971,0.0010000000474974513,0.1821231245994568,0.9387442469596863,0.9459876418113708,0.5087719559669495,0.8826971054077148,2.0846662521362305,0.0,0.0
3,0.943498432636261,0.9837520122528076,0.0010000000474974513,0.17770259082317352,0.9457364082336426,0.9413580298423767,0.5087719559669495,0.7912176847457886,2.0431718826293945,0.0,0.0
4,0.943498432636261,0.9864884614944458,0.0010000000474974513,0.16472025215625763,0.9389312863349915,0.9490740895271301,0.5087719559669495,0.7142857313156128,2.4943456649780273,0.0,0.0
5,0.9589783549308777,0.9881072044372559,0.0005000000237487257,0.14777404069900513,0.9641185402870178,0.9537037014961243,0.5087719559669495,0.7131696343421936,2.4805195331573486,0.0,0.0
6,0.952786386013031,0.9896193146705627,0.0005000000237487257,0.1495000720024109,0.9508448243141174,0.9552469253540039,0.5263158082962036,0.9562423229217529,1.8398611545562744,1.0,0.0357142873108387
7,0.957430362701416,0.991152822971344,0.0005000000237487257,0.1367768943309784,0.9554531574249268,0.959876537322998,0.5263158082962036,0.6751462817192078,2.095527172088623,1.0,0.0357142873108387
8,0.9721361994743347,0.9930915236473083,0.0005000000237487257,0.1189366951584816,0.9766355156898499,0.9675925970077515,0.5657894611358643,0.9774091839790344,1.2610427141189575,1.0,0.1160714253783226
9,0.9729102253913879,0.9957321882247925,0.0005000000237487257,0.10516759008169174,0.9622926115989685,0.9845678806304932,0.5789473652839661,0.9425801038742065,1.4293667078018188,1.0,0.1428571492433548
10,0.9605262875556946,0.9944992661476135,0.0005000000237487257,0.11416935175657272,0.9656786322593689,0.9552469253540039,0.6710526347160339,0.9938808083534241,0.6675164103507996,1.0,0.3303571343421936
11,0.9682662487030029,0.993488073348999,0.0005000000237487257,0.11156556010246277,0.9633587598800659,0.9737654328346252,0.8245614171028137,0.9949584007263184,0.41688045859336853,1.0,0.6428571343421936
12,0.9651702642440796,0.9943135976791382,0.0005000000237487257,0.11211542040109634,0.964560866355896,0.9660493731498718,0.8070175647735596,0.9807573556900024,0.537599503993988,1.0,0.6071428656578064
13,0.9729102253913879,0.994763970375061,0.0005000000237487257,0.09895569086074829,0.9665144681930542,0.979938268661499,0.9342105388641357,0.9934190511703491,0.2064412385225296,1.0,0.8660714030265808
14,0.977554202079773,0.9967315196990967,0.0005000000237487257,0.08569216728210449,0.9739663004875183,0.9814814925193787,0.9912280440330505,0.9989224076271057,0.06436307728290558,1.0,0.9821428656578064
15,0.9659442901611328,0.9953261017799377,0.0005000000237487257,0.10978876799345016,0.9674922823905945,0.9645061492919922,0.9780701994895935,0.9843364953994751,0.16462840139865875,1.0,0.9553571343421936
16,0.970588207244873,0.995267391204834,0.0005000000237487257,0.0952235758304596,0.9721361994743347,0.9691358208656311,0.9780701994895935,0.9944196939468384,0.13821972906589508,1.0,0.9553571343421936
17,0.9736841917037964,0.9961299896240234,0.0005000000237487257,0.09200379997491837,0.9679877758026123,0.979938268661499,0.9868420958518982,0.993803858757019,0.09884574264287949,1.0,0.9732142686843872
18,0.9713622331619263,0.9946215152740479,0.0005000000237487257,0.1038338765501976,0.9664121866226196,0.9768518805503845,0.9561403393745422,0.9852216243743896,0.19810722768306732,1.0,0.9107142686843872
19,0.9806501269340515,0.9982495307922363,0.0002500000118743628,0.0737418681383133,0.9874804615974426,0.9737654328346252,0.9736841917037964,0.9945351481437683,0.12391462922096252,1.0,0.9464285969734192
20,0.9821981191635132,0.9972946643829346,0.0002500000118743628,0.08017507940530777,0.9785605072975159,0.9861111044883728,0.9780701994895935,0.9947275519371033,0.10482585430145264,1.0,0.9553571343421936
21,0.9876161217689514,0.9994093179702759,0.0002500000118743628,0.05316784977912903,0.9846625924110413,0.9907407164573669,0.9956140518188477,0.9943042397499084,0.062291521579027176,1.0,0.9910714030265808
22,0.9791021943092346,0.9972633123397827,0.0002500000118743628,0.07787041366100311,0.9769585132598877,0.9814814925193787,0.9956140518188477,0.9950739145278931,0.07144350558519363,1.0,0.9910714030265808
23,0.9791021943092346,0.9981860518455505,0.0002500000118743628,0.07602741569280624,0.9769585132598877,0.9814814925193787,0.9473684430122375,0.9947659373283386,0.12530024349689484,1.0,0.8928571343421936
24,0.9798761606216431,0.9968273043632507,0.0002500000118743628,0.07424774765968323,0.9784615635871887,0.9814814925193787,0.9956140518188477,0.9945350885391235,0.06084519624710083,1.0,0.9910714030265808
25,0.977554202079773,0.9960603713989258,0.0002500000118743628,0.08634460717439651,0.9768875241279602,0.9783950448036194,0.9956140518188477,0.9945350885391235,0.05780823901295662,1.0,0.9910714030265808
26,0.9914860725402832,0.9986822009086609,0.0002500000118743628,0.05228608474135399,0.9877488613128662,0.9953703880310059,0.9956140518188477,0.9949584603309631,0.06620647758245468,1.0,0.9910714030265808
27,0.9868420958518982,0.9982651472091675,0.0002500000118743628,0.06205759570002556,0.9891473054885864,0.9845678806304932,0.9956140518188477,0.9951894283294678,0.06444533914327621,1.0,0.9910714030265808
28,0.9860681295394897,0.9994381070137024,0.0002500000118743628,0.0511702299118042,0.9846153855323792,0.9876543283462524,0.9956140518188477,0.9949584007263184,0.05975157022476196,1.0,0.9910714030265808
29,0.9860681295394897,0.9990929961204529,0.0002500000118743628,0.06004932150244713,0.9831288456916809,0.9891975522041321,0.9912280440330505,0.9941502809524536,0.07343604415655136,0.9910714030265808,0.9910714030265808
